"GEOID","suffix","n"
"12039","RD",704
"12041","ST",276
"12043","RD",228
"12045","RD",389
"12047","ST",149
"12049","RD",428
"12051","ST",504
"12053","RD",1050
"12055","RD",1416
"12057","DR",5557
"12059","RD",461
"12061","AVE",782
"12063","RD",810
"12065","RD",396
"12067","RD",427
"12069","DR",1976
"12071","CT",3205
"12073","DR",1473
"12075","ST",897
"12077","RD",290
"12079","RD",473
"12081","E",3094
"12083","ST",2712
"12085","ST",564
"12086","ST",8356
"12087","DR",609
"12089","RD",867
"12091","DR",1201
"12093","ST",674
"12095","DR",4741
"12097","CT",1208
"12099","DR",4637
"12101","DR",3632
"12103","N",3958
"12105","DR",3366
"12107","ST",1184
"12109","DR",1202
"12111","ST",1243
"12113","RD",1316
"12115","DR",2522
"12117","CT",1760
"12119","ST",567
"12121","RD",606
"12123","RD",674
"12125","LN",208
"12127","DR",2663
"12129","RD",431
"12131","RD",1245
"12133","RD",763
"13001","RD",689
"13003","LN",269
"13005","RD",351
"13007","RD",287
"13009","RD",252
"13011","RD",355
"13013","DR",403
"13015","SE",514
"13017","RD",379
"13019","RD",637
"13021","DR",1034
"13023","RD",278
"13025","RD",617
"13027","RD",370
"13029","RD",393
"13031","RD",1033
"13033","RD",506
"13035","RD",365
"13037","RD",137
"13039","RD",445
"13043","RD",327
"13045","RD",802
"13047","LN",828
"13049","RD",357
"13051","ST",1224
"13053","RD",262
"13055","RD",437
"13057","DR",1236
"13059","DR",557
"13061","RD",163
"13063","DR",1198
"13065","RD",345
"13067","DR",2862
"13069","RD",962
"13071","RD",628
"13073","DR",771
"13075","RD",312
"13077","DR",736
"13079","RD",221
"13081","RD",309
"13083","RD",271
"13085","RD",398
"13087","RD",571
"13089","DR",2161
"13091","RD",465
"13093","RD",395
"13095","AVE",437
"13097","DR",829
"13099","RD",351
"13101","RD",229
"13103","DR",452
"13105","RD",427
"13107","RD",586
"13109","RD",364
"13111","RD",1011
"13113","DR",538
"13115","ST",376
"13117","DR",1204
"13119","RD",586
"13121","DR",2085
"13123","RD",934
"13125","RD",178
"13127","DR",675
"13129","SE",357
"13131","RD",266
"13133","RD",383
"13135","CT",2642
"13137","RD",661
"13139","DR",1349
"13141","RD",499
"13143","RD",579
"13145","RD",414
"13147","RD",875
"13149","RD",306
"13151","DR",1207
"13153","DR",998
"13155","RD",344
"13157","RD",624
"13159","RD",354
"13161","RD",485
"13163","RD",379
"13165","RD",354
"13167","RD",285
"13169","RD",382
"13171","RD",269
"13173","RD",254
"13175","RD",761
"13177","RD",186
"13179","RD",488
"13181","RD",226
"13183","RD",329
"13185","DR",630
"13187","RD",597
"13189","RD",250
"13191","RD",354
"13193","RD",345
"13195","RD",639
"13197","RD",256
"13199","RD",477
"13201","RD",242
"13205","RD",364
"13207","RD",338
"13209","RD",210
"13211","RD",272
"13213","RD",419
"13215","DR",1181
"13217","DR",452
"13219","RD",346
"13221","RD",393
"13223","DR",850
"13225","RD",253
"13227","RD",498
"13229","RD",452
"13231","RD",349
"13233","RD",558
"13235","RD",308
"13237","DR",212
"13239","RD",118
"13241","LN",1204
"13243","RD",234
"13245","DR",1183
"13247","SE",654
"13249","RD",143
"13251","RD",420
"13253","RD",210
"13255","RD",412
"13257","RD",627
"13259","RD",196
"13261","RD",351
"13263","RD",311
"13265","RD",63
"13267","RD",826
"13269","RD",399
"13271","RD",258
"13273","RD",208
"13275","ST",574
"13277","RD",531
"13279","RD",502
"13281","RD",536
"13283","RD",272
"13285","RD",444
"13287","RD",264
"13289","RD",274
"13291","RD",972
"13293","RD",345
"13295","RD",650
"13297","DR",468
"13299","ST",494
"13301","RD",203
"13303","RD",404
"13305","RD",587
"13307","RD",181
"13309","RD",174
"13311","DR",669
"13313","DR",896
"13315","RD",309
"13317","RD",262
"13319","RD",299
"13321","RD",438
"15001","ST",1416
"15003","ST",3802
"15005","ST",19
"15007","RD",605
"15009","PL",1162
"16001","ST",3336
"16003","RD",239
"16005","RD",579
"16007","RD",229
"16009","RD",339
"16011","RD",691
"16013","RD",457
"16015","RD",677
"16017","RD",1483
"16019","DR",765
"16021","RD",482
"16023","N",70
"16025","RD",120
"16027","ST",1011
"16029","RD",388
"16031","RD",295
"16033","RD",167
"16035","RD",459
"16037","RD",317
"16039","RD",645
"16041","RD",164
"16043","RD",478
"16045","RD",137
"16047","E",166
"16049","RD",1007
"16051","N",380
"16053","E",177
"16055","RD",1521
"16057","RD",524
"16059","RD",951
"16061","RD",229
"16063","RD",147
"16065","RD",176
"16067","RD",245
"16069","RD",465
"16071","RD",167
"16073","RD",437
"16075","ST",173
"16077","RD",342
"16079","RD",465
"16081","RD",306
"16083","N",444
"16085","RD",472
"16087","RD",223
"17001","ST",1105
"17003","RD",254
"17005","ST",430
"17007","DR",245
"17009","E",201
"17011","ST",1637
"17013","RD",181
"17015","ST",379
"17017","RD",385
"17019","DR",1383
"17021","ST",734
"17023","ST",627
"17025","E",316
"17027","ST",649
"17029","ST",491
"17031","AVE",11948
"17033","ST",658
"17035","ST",188
"17037","ST",740
"17039","RD",733
"17041","ST",374
"17043","CT",3368
"17045","ST",648
"17047","ST",198
"17049","ST",738
"17051","ST",530
"17053","RD",330
"17055","ST",1155
"17057","RD",887
"17059","RD",226
"17061","ST",309
"17063","ST",488
"17065","N",335
"17067","ST",639
"17069","ST",83
"17071","ST",268
"17073","ST",1068
"17075","RD",1082
"17077","RD",942
"17079","ST",473
"17081","RD",637
"17083","RD",391
"17085","RD",519
"17087","LN",281
"17089","DR",1744
"17091","RD",815
"17093","DR",544
"17095","ST",857
"17097","CT",2788
"17099","ST",1653
"17101","ST",256
"17103","RD",497
"17105","RD",667
"17107","ST",989
"17109","ST",824
"17111","DR",1755
"17113","RD",1398
"17115","ST",910
"17117","ST",1314
"17119","ST",1899
"17121","ST",727
"17123","ST",328
"17125","ST",457
"17127","RD",234
"17129","ST",385
"17131","ST",549
