"GEOID","suffix","n"
"29017","ST",103
"29019","DR",1349
"29021","ST",877
"29023","LN",379
"29025","DR",294
"29027","DR",390
"29029","DR",1653
"29031","LN",760
"29033","ST",268
"29035","ST",103
"29037","ST",1578
"29039","RD",1171
"29041","RD",350
"29043","RD",904
"29045","ST",228
"29047","ST",2649
"29049","ST",449
"29051","DR",581
"29053","ST",192
"29055","RD",470
"29057","ST",187
"29059","RD",411
"29061","ST",591
"29063","RD",416
"29065","ST",170
"29067","AVE",79
"29069","ST",703
"29071","DR",1239
"29073","RD",404
"29075","ST",485
"29077","ST",2011
"29079","ST",550
"29081","ST",509
"29083","RD",795
"29085","ST",105
"29087","ST",189
"29089","ST",185
"29091","ST",376
"29093","RD",215
"29095","ST",5482
"29097","ST",1191
"29099","DR",3193
"29101","RD",1197
"29103","ST",129
"29105","DR",445
"29107","ST",589
"29109","ST",497
"29111","ST",513
"29113","DR",692
"29115","ST",414
"29117","ST",300
"29119","RD",591
"29121","ST",588
"29123","ST",108
"29125","ST",61
"29127","ST",380
"29129","ST",262
"29131","RD",777
"29133","ST",353
"29135","RD",365
"29137","ST",195
"29139","RD",453
"29141","RD",1040
"29143","ST",398
"29145","LN",715
"29147","ST",896
"29149","ST",135
"29151","LN",413
"29153","DR",124
"29155","ST",363
"29157","LN",265
"29159","RD",567
"29161","RD",341
"29163","ST",332
"29165","ST",1007
"29167","RD",1176
"29169","LN",466
"29171","ST",251
"29173","RD",177
"29175","ST",353
"29177","ST",605
"29179","ST",69
"29181","ST",125
"29183","DR",4007
"29185","RD",630
"29186","RD",274
"29187","ST",802
"29189","DR",8281
"29195","AVE",396
"29197","ST",181
"29199","ST",126
"29201","ST",535
"29203","ST",119
"29205","ST",224
"29207","ST",515
"29209","LN",1013
"29211","RD",338
"29213","RD",899
"29215","RD",424
"29217","RD",1560
"29219","DR",687
"29221","RD",982
"29223","ST",195
"29225","RD",538
"29227","ST",137
"29229","RD",411
"29510","AVE",1439
"30001","RD",532
"30003","RD",326
"30005","RD",462
"30007","PVT1",404
"30009","RD",619
"30011","RD",273
"30013","RD",434
"30015","RD",510
"30017","ST",175
"30019","RD",234
"30021","ST",117
"30023","RD",183
"30025","RD",84
"30027","RD",441
"30029","RD",1139
"30031","RD",1250
"30033","RD",176
"30035","RD",336
"30037","RD",135
"30039","RD",390
"30041","RD",236
"30043","RD",580
"30045","RD",426
"30047","LN",819
"30049","RD",879
"30051","RD",152
"30053","RD",1023
"30055","RD",175
"30057","RD",573
"30059","RD",228
"30061","RD",286
"30063","RD",879
"30065","RD",295
"30067","RD",560
"30069","RD",72
"30071","RD",213
"30073","RD",401
"30075","RD",258
"30077","RD",498
"30079","RD",95
"30081","LN",879
"30083","ST",54
"30085","ST",111
"30087","RD",343
"30089","RD",594
"30091","RD",265
"30093","ST",512
"30095","RD",497
"30097","RD",176
"30099","NE",245
"30101","RD",307
"30103","RD",90
"30105","RD",512
"30107","RD",196
"30109","RD",83
"30111","DR",929
"31001","AVE",415
"31003","RD",265
"31005","RD",47
"31007","RD",19
"31009","RD",54
"31011","ST",399
"31013","ST",130
"31015","RD",170
"31017","ST",114
"31019","RD",548
"31021","ST",190
"31023","ST",255
"31025","ST",576
"31027","AVE",260
"31029","AVE",160
"31031","RD",230
"31033","ST",156
"31035","ST",267
"31037","ST",218
"31039","ST",183
"31041","RD",406
"31043","ST",358
"31045","RD",249
"31047","ST",331
"31049","ST",44
"31051","AVE",244
"31053","ST",474
"31055","ST",5569
"31057","RD",73
"31059","ST",229
"31061","RD",357
"31063","ST",98
"31065","ST",189
"31067","ST",518
"31069","ST",52
"31071","AVE",102
"31073","ST",24
"31075","LN",65
"31077","AVE",153
"31079","ST",501
"31081","RD",211
"31083","RD",424
"31085","ST",26
"31087","ST",104
"31089","RD",483
"31091","AVE",32
"31093","AVE",180
"31095","ST",196
"31097","RD",137
"31099","RD",167
"31101","ST",228
"31103","RD",110
"31105","ST",148
"31107","AVE",348
"31109","ST",2905
"31111","RD",882
"31113","ST",26
"31115","RD",74
"31117","RD",57
"31119","ST",365
"31121","RD",280
"31123","ST",122
"31125","ST",349
"31127","ST",211
"31129","ST",199
"31131","RD",349
"31133","ST",158
"31135","ST",47
"31137","RD",174
"31139","ST",209
"31141","ST",533
"31143","ST",129
"31145","ST",201
"31147","ST",268
"31149","RD",127
"31151","ST",291
"31153","ST",1665
"31155","ST",469
"31157","ST",376
"31159","ST",269
"31161","RD",308
"31163","RD",275
"31165","RD",259
"31167","RD",166
"31169","ST",217
"31171","ST",40
"31173","RD",183
"31175","RD",219
"31177","LN",288
"31179","ST",140
"31181","ST",139
"31183","AVE",88
"31185","ST",209
"32001","RD",274
"32003","ST",11390
"32005","CT",446
"32007","ST",530
"32009","RD",106
"32011","ST",139
"32013","RD",488
"32015","RD",157
"32017","RD",354
"32019","ST",413
"32021","RD",183
"32023","ST",1047
"32027","RD",333
"32029","RD",158
"32031","CT",2656
"32033","ST",208
"32510","DR",391
"33001","RD",1317
"33003","RD",2288
"33005","RD",1649
"33007","RD",1387
"33009","RD",2859
"33011","RD",3226
"33013","RD",2316
"33015","RD",2931
"33017","RD",1052
"33019","RD",1370
"34001","AVE",2635
"34003","AVE",2797
"34005","RD",1865
"34007","AVE",3025
"34009","AVE",1078
"34011","RD",651
"34013","ST",1470
"34015","AVE",1520
"34017","ST",921
"34019","RD",1260
"34021","AVE",1115
"34023","ST",2273
"34025","DR",2231
"34027","RD",2660
"34029","DR",2627
"34031","AVE",1073
"34033","RD",512
"34035","RD",1262
"34037","RD",1441
"34039","AVE",1387
"34041","RD",833
"35001","NE",4501
"35003","RD",346
"35005","RD",1242
"35006","RD",878
"35007","RD",439
"35009","ST",365
"35011","RD",318
"35013","RD",1445
"35015","RD",839
"35017","RD",794
"35019","RD",279
"35021","RD",245
"35023","RD",409
"35025","ST",770
"35027","RD",601
"35028","ST",160
"35029","RD",738
"35031","RD",1196
"35033","RD",163
"35035","RD",762
"35037","ST",218
"35039","RD",387
"35041","ST",158
"35043","NE",1727
"35045","ST",457
"35047","RD",497
"35049","RD",1318
"35051","RD",501
"35053","RD",443
"35055","RD",1210
"35057","RD",674
"35059","RD",449
"35061","RD",911
"36001","RD",1388
"36003","RD",1366
"36005","AVE",1011
"36007","RD",1345
"36009","RD",1660
"36011","RD",1115
"36013","RD",1269
"36015","RD",668
"36017","RD",1124
"36019","RD",1016
"36021","RD",1485
"36023","RD",700
"36025","RD",1981
"36027","RD",2268
"36029","DR",1970
"36031","RD",1032
"36033","RD",1228
"36035","RD",690
"36037","RD",591
"36039","RD",1246
"36041","RD",552
"36043","RD",1233
"36045","RD",1511
"36047","ST",1474
"36049","RD",992
"36051","RD",818
"36053","RD",1086
"36055","DR",2499
"36057","RD",676
"36059","AVE",3597
"36061","ST",763
"36063","ST",826
"36065","RD",1961
"36067","RD",1938
"36069","RD",800
"36071","RD",2500
"36073","RD",433
"36075","RD",1032
"36077","RD",1624
"36079","RD",1373
"36081","ST",2695
"36083","RD",1503
"36085","AVE",1383
"36087","CT",1046
"36089","RD",2043
"36091","RD",1506
"36093","RD",552
"36095","RD",1186
"36097","RD",686
"36099","RD",518
"36101","RD",2303
"36103","RD",4897
"36105","RD",2473
"36107","RD",890
"36109","RD",902
"36111","RD",2692
"36113","RD",1292
"36115","RD",934
"36117","RD",925
"36119","RD",3517
"36121","RD",594
"36123","RD",657
"37001","DR",1111
"37003","LN",643
"37005","LN",516
"37007","RD",568
"37009","RD",863
"37011","LN",801
"37013","RD",668
"37015","RD",257
"37017","RD",608
"37019","SW",1777
"37021","RD",2773
"37023","RD",753
"37025","NW",921
"37027","LN",759
"37029","RD",139
"37031","DR",720
"37033","RD",482
"37035","DR",1043
"37037","RD",990
"37039","RD",1169
"37041","RD",146
"37043","DR",259
"37045","DR",1066
"37047","RD",610
"37049","RD",733
"37051","DR",2464
"37053","RD",335
"37055","RD",479
"37057","DR",1447
"37059","LN",522
"37061","LN",971
"37063","DR",1519
"37065","LN",516
"37067","DR",2311
"37069","DR",613
"37071","DR",1757
"37073","LN",121
"37075","RD",353
"37077","RD",471
"37079","RD",243
"37081","DR",2893
"37083","ST",522
"37085","LN",1245
"37087","DR",1402
"37089","DR",1780
"37091","RD",284
"37093","RD",530
"37095","RD",185
"37097","LN",1816
"37099","RD",1797
"37101","DR",1319
"37103","LN",253
"37105","DR",418
"37107","RD",658
"37109","LN",903
"37111","DR",1246
"37113","RD",1940
"37115","RD",988
"37117","RD",348
"37119","DR",5133
"37121","RD",521
"37123","DR",454
"37125","RD",1124
"37127","RD",795
"37129","DR",1346
"37131","ST",292
"37133","CT",991
"37135","RD",1078
"37137","RD",301
"37139","DR",287
"37141","RD",573
"37143","RD",151
"37145","RD",738
"37147","DR",1027
"37149","LN",487
"37151","RD",1197
"37153","RD",630
"37155","RD",1725
"37157","RD",1073
"37159","RD",1053
"37161","RD",921
"37163","LN",1058
"37165","RD",398
"37167","RD",735
"37169","RD",1267
"37171","LN",1790
"37173","RD",802
"37175","RD",1031
"37177","RD",112
"37179","DR",1218
"37181","LN",513
"37183","DR",6142
"37185","RD",547
"37187","RD",167
"37189","RD",1339
"37191","DR",895
"37193","RD",1325
"37195","RD",418
"37197","RD",758
"37199","RD",758
"38001","NE",201
"38003","SE",555
"38005","NE",623
"38007","W",69
"38009","NW",364
"38011","SW",141
"38013","NW",467
"38015","DR",502
"38017","S",1107
"38019","NE",611
"38021","SE",438
"38023","NW",625
"38025","SW",407
"38027","NE",292
"38029","SE",653
"38031","NE",184
"38033","SW",196
"38035","ST",433
"38037","SW",555
"38039","NE",220
"38041","SW",419
"38043","SE",559
"38045","SE",463
"38047","SE",389
"38049","N",409
"38051","SE",605
"38053","NW",777
"38055","NW",768
"38057","SW",310
"38059","ST",401
"38061","NW",774
"38063","NE",454
"38065","SW",291
"38067","NE",404
"38069","NE",417
"38071","NE",628
"38073","SE",294
"38075","NW",315
"38077","SE",498
"38079","NE",421
"38081","SE",357
"38083","NE",329
"38085","ST",111
"38087","SW",110
"38089","SW",840
"38091","NE",120
"38093","SE",1037
"38095","NE",395
"38097","NE",194
"38099","NE",495
"38101","NW",679
"38103","NE",411
"38105","NW",891
"39001","RD",719
"39003","ST",544
"39005","ST",255
"39007","RD",604
"39009","RD",807
"39011","ST",453
"39013","RD",1021
"39015","RD",629
"39017","DR",2008
"39019","SW",269
"39021","RD",349
"39023","DR",593
"39025","DR",1130
"39027","RD",327
"39029","ST",941
"39031","ST",307
"39033","ST",382
"39035","DR",3219
"39037","RD",548
"39039","RD",326
"39041","DR",1419
"39043","ST",445
"39045","ST",551
"39047","ST",182
"39049","DR",5170
"39051","ST",286
"39053","RD",747
"39055","DR",639
"39057","DR",1364
"39059","RD",693
"39061","DR",2470
"39063","ST",453
"39065","ST",446
"39067","RD",657
"39069","ST",314
"39071","RD",524
"39073","RD",717
"39075","ST",207
"39077","ST",456
"39079","RD",642
"39081","ST",646
"39083","RD",579
"39085","DR",1339
"39087","ST",467
"39089","DR",779
"39091","ST",497
"39093","DR",1100
"39095","DR",1777
"39097","RD",244
"39099","AVE",1203
"39101","ST",402
"39103","DR",991
"39105","RD",641
"39107","ST",440
"39109","ST",540
"39111","RD",460
"39113","DR",2497
"39115","RD",553
"39117","RD",381
"39119","RD",889
"39121","RD",693
"39123","DR",584
"39125","ST",292
"39127","ST",435
"39129","RD",397
"39131","RD",489
"39133","DR",794
"39135","RD",428
"39137","ST",511
"39139","RD",748
"39141","RD",603
"39143","ST",471
"39145","RD",770
"39147","ST",495
"39149","RD",373
"39151","NW",3413
"39153","DR",2618
"39155","RD",646
"39157","ST",626
"39159","RD",328
"39161","RD",378
"39163","RD",455
"39165","DR",1358
"39167","RD",956
"39169","RD",607
"39171","ST",501
"39173","RD",762
"39175","ST",222
"40001","RD",860
"40003","RD",756
"40005","RD",1060
"40007","ST",59
"40009","RD",492
"40011","RD",793
"40013","RD",1193
"40015","RD",604
"40017","ST",908
"40019","RD",795
"40021","RD",1577
"40023","RD",716
"40025","RD",819
"40027","ST",1752
"40029","RD",401
"40031","RD",1107
"40033","AVE",115
"40035","RD",911
"40037","AVE",983
"40039","RD",772
"40041","RD",2148
"40043","RD",465
"40045","RD",613
"40047","RD",965
"40049","RD",782
"40051","RD",966
"40053","RD",515
"40055","RD",315
"40057","RD",210
"40059","RD",599
"40061","RD",472
"40063","RD",670
"40065","ST",359
"40067","RD",344
"40069","RD",457
"40071","RD",617
"40073","RD",384
"40075","RD",439
"40077","RD",561
"40079","RD",927
"40081","RD",1371
"40083","RD",872
"40085","RD",622
"40087","ST",625
"40089","RD",579
"40091","RD",1128
"40093","RD",394
"40095","RD",583
"40097","RD",1083
"40099","RD",487
"40101","ST",888
"40103","RD",482
"40105","RD",449
"40107","RD",519
"40109","ST",4667
"40111","RD",1271
"40113","RD",756
"40115","RD",747
"40117","RD",800
"40119","RD",823
"40121","RD",1439
"40123","RD",788
"40125","RD",1282
"40127","RD",464
"40129","RD",536
"40131","RD",1318
"40133","RD",629
"40135","RD",1640
"40137","RD",731
"40139","RD",878
"40141","RD",326
"40143","ST",7551
"40145","AVE",1114
"40147","RD",684
"40149","RD",581
"40151","RD",290
"40153","RD",589
"41001","RD",622
"41003","DR",453
"41005","RD",1991
"41007","RD",687
"41009","RD",632
"41011","RD",1074
"41013","RD",720
"41015","RD",418
"41017","RD",1314
"41019","SP",1598
"41021","RD",156
"41023","RD",773
"41025","RD",557
"41027","RD",238
"41029","RD",1115
"41031","RD",738
"41033","RD",746
"41035","FS",9951
"41037","RD",651
"41039","ST",2523
"41041","ST",1087
"41043","ST",723
"41045","RD",781
"41047","NE",2549
"41049","RD",331
"41051","AVE",3751
"41053","NW",686
"41055","RD",142
"41057","RD",768
"41059","RD",1504
"41061","RD",379
"41063","RD",452
"41065","RD",850
"41067","AVE",2117
"41069","RD",140
"41071","ST",1095
"42001","RD",798
"42003","ST",7279
"42005","RD",1547
"42007","ST",1456
"42009","RD",1757
"42011","RD",2285
"42013","LN",1133
"42015","RD",2213
"42017","RD",2940
"42019","LN",1625
"42021","ST",1928
"42023","RD",285
"42025","ST",683
"42027","RD",1426
"42029","RD",2619
"42031","RD",948
"42033","RD",2165
"42035","LN",849
"42037","RD",1008
"42039","RD",1433
"42041","DR",1395
"42043","ST",2222
"42045","RD",3451
"42047","RD",898
"42049","DR",1256
"42051","RD",2036
"42053","RD",447
"42055","RD",1205
"42057","RD",386
"42059","RD",1001
"42061","RD",1128
"42063","RD",1430
"42065","RD",1171
"42067","RD",656
"42069","ST",1851
"42071","RD",2389
"42073","RD",805
"42075","ST",1324
"42077","ST",3731
"42079","ST",3167
"42081","RD",1727
"42083","RD",639
"42085","RD",1117
"42087","LN",869
"42089","RD",1959
"42091","RD",3752
"42093","RD",344
"42095","ST",2125
"42097","ST",1306
"42099","RD",764
"42101","ST",6187
"42103","RD",1247
"42105","RD",780
"42107","ST",2462
"42109","RD",1028
"42111","RD",1786
"42113","RD",560
"42115","RD",1327
"42117","RD",1525
"42119","RD",506
"42121","RD",910
"42123","RD",600
"42125","ST",1966
"42127","RD",1334
"42129","ST",3085
"42131","RD",503
"42133","RD",2931
"44001","ST",317
"44003","ST",1092
"44005","RD",522
"44007","ST",4082
"44009","RD",1420
"45001","RD",506
"45003","RD",1629
"45005","RD",298
"45007","RD",1981
"45009","RD",472
"45011","RD",390
"45013","DR",1922
"45015","LN",2487
"45017","LN",271
"45019","RD",2674
"45021","RD",840
"45023","RD",708
"45025","RD",1021
"45027","RD",699
"45029","LN",842
"45031","DR",964
"45033","DR",326
"45035","LN",830
"45037","RD",354
"45039","RD",498
"45041","RD",1335
"45043","DR",743
"45045","DR",2774
"45047","RD",751
"45049","RD",485
"45051","DR",2570
"45053","RD",516
"45055","RD",871
"45057","RD",898
"45059","RD",1162
"45061","RD",481
"45063","CT",1651
"45065","RD",478
"45067","RD",740
"45069","RD",436
"45071","RD",718
"45073","DR",2721
"45075","RD",1314
"45077","DR",1287
"45079","RD",2516
"45081","RD",582
"45083","RD",2607
"45085","RD",911
"45087","RD",489
"45089","RD",603
"45091","RD",1541
"46003","ST",290
"46005","ST",318
"46007","ST",32
"46009","ST",292
"46011","ST",348
"46013","ST",695
"46015","ST",251
"46017","RD",48
"46019","RD",370
"46021","ST",172
"46023","ST",373
"46025","ST",183
"46027","ST",263
"46029","ST",262
"46031","ST",121
"46033","RD",475
"46035","ST",288
"46037","ST",379
"46039","ST",187
"46041","ST",79
"46043","ST",180
"46045","AVE",411
"46047","RD",368
"46049","ST",310
"46051","ST",242
"46053","ST",438
"46055","ST",175
"46057","ST",225
"46059","ST",344
"46061","ST",183
"46063","RD",135
"46065","AVE",285
"46067","ST",403
"46069","ST",149
"46071","RD",159
"46073","ST",160
"46075","AVE",109
"46077","ST",308
"46079","AVE",221
"46081","RD",546
"46083","ST",600
"46085","ST",306
"46087","AVE",200
"46089","ST",319
"46091","ST",270
"46093","RD",484
"46095","ST",84
"46097","ST",215
"46099","ST",1132
"46101","ST",214
"46102","RD",249
"46103","RD",879
"46105","RD",151
"46107","ST",261
"46109","ST",321
"46111","ST",249
"46115","ST",552
"46117","ST",81
"46119","ST",181
"46121","ST",115
"46123","ST",574
"46125","ST",284
"46127","ST",362
"46129","ST",331
"46135","ST",364
"46137","RD",60
"47001","LN",906
"47003","RD",531
"47005","RD",470
"47007","RD",680
"47009","DR",1065
"47011","NW",670
"47013","LN",1096
"47015","LN",441
"47017","RD",413
"47019","RD",1152
"47021","RD",558
"47023","RD",249
"47025","LN",687
"47027","RD",533
"47029","WAY",972
"47031","RD",636
"47033","RD",340
"47035","RD",842
"47037","DR",2914
"47039","RD",390
"47041","RD",520
"47043","RD",881
"47045","RD",453
"47047","DR",403
"47049","RD",639
"47051","LN",868
"47053","RD",644
"47055","RD",1005
"47057","RD",460
"47059","RD",815
"47061","RD",437
"47063","DR",537
"47065","DR",1860
"47067","RD",471
"47069","RD",378
"47071","LN",641
"47073","RD",1121
"47075","RD",385
"47077","RD",491
"47079","RD",574
"47081","RD",740
"47083","RD",273
"47085","RD",385
"47087","LN",516
"47089","RD",641
"47091","RD",498
"47093","LN",2719
"47095","RD",109
"47097","RD",384
"47099","RD",892
"47101","RD",506
"47103","RD",640
"47105","RD",503
"47107","RD",692
"47109","RD",488
"47111","RD",351
"47113","DR",725
"47115","RD",731
"47117","RD",547
"47119","RD",742
"47121","LN",253
"47123","RD",904
"47125","DR",1166
"47127","RD",255
"47129","RD",821
"47131","RD",754
"47133","LN",587
"47135","RD",392
"47137","RD",353
"47139","RD",386
"47141","RD",865
"47143","LN",633
"47145","RD",836
"47147","RD",707
"47149","DR",1642
"47151","RD",595
"47153","RD",441
"47155","WAY",1610
"47157","DR",4411
"47159","LN",634
"47161","RD",447
"47163","DR",1381
"47165","DR",985
"47167","RD",496
"47169","LN",149
"47171","RD",816
"47173","RD",496
"47175","RD",320
"47177","RD",665
"47179","RD",1166
"47181","RD",695
"47183","RD",687
"47185","RD",569
"47187","DR",1342
"47189","DR",783
"48001","ST",456
"48003","ST",120
"48005","RD",937
"48007","ST",388
"48009","RD",261
"48011","ST",100
"48013","ST",353
"48015","RD",567
"48017","ST",73
"48019","RD",582
"48021","RD",618
"48023","RD",169
"48025","ST",465
"48027","DR",2399
"48029","DR",4981
"48031","RD",409
"48033","RD",25
"48035","ST",298
"48037","ST",938
"48039","DR",1996
"48041","DR",951
"48043","RD",312
"48045","ST",41
"48047","ST",150
"48049","ST",405
"48051","ST",235
"48053","DR",707
"48055","ST",355
"48057","ST",371
"48059","ST",272
"48061","ST",1779
"48063","ST",95
"48065","ST",136
"48067","ST",367
"48069","ST",126
"48071","RD",407
"48073","ST",526
"48075","NW",36
"48077","RD",372
"48079","ST",90
"48081","RD",226
"48083","ST",291
"48085","DR",7507
"48087","ST",77
"48089","RD",619
"48091","DR",1124
"48093","ST",233
"48095","ST",116
"48097","ST",425
"48099","ST",413
"48101","ST",60
"48103","ST",102
"48105","ST",91
"48107","RD",67
"48109","RD",162
"48111","ST",120
"48113","DR",10512
"48115","ST",140
"48117","ST",168
"48119","ST",80
"48121","DR",5002
"48123","RD",477
"48125","ST",67
"48127","ST",237
"48129","ST",269
"48131","ST",199
"48133","ST",444
"48135","AVE",843
"48137","RD",74
"48139","RD",1049
"48141","DR",3934
"48143","ST",252
"48145","ST",315
"48147","ST",588
"48149","RD",602
"48151","ST",115
"48153","ST",248
"48155","ST",80
"48157","LN",4144
"48159","ST",106
"48161","ST",240
"48163","ST",259
"48165","ST",102
"48167","DR",1687
"48169","ST",58
"48171","RD",597
"48173","RD",31
"48175","RD",172
"48177","ST",256
"48179","ST",368
"48181","RD",1356
"48183","ST",1163
"48185","LN",319
"48187","LN",585
"48189","ST",541
"48191","ST",191
"48193","ST",238
"48195","ST",81
"48197","RD",228
"48199","RD",809
"48201","DR",17924
"48203","RD",742
"48205","RD",64
"48207","ST",133
"48209","DR",1072
"48211","ST",83
"48213","DR",1013
"48215","ST",4832
"48217","ST",484
"48219","RD",265
"48221","CT",1124
"48223","ST",246
"48225","ST",294
"48227","ST",408
"48229","RD",201
"48231","ST",749
"48233","ST",505
"48235","RD",139
"48237","RD",366
"48239","ST",283
"48241","ST",276
"48243","RD",156
"48245","ST",1537
"48247","RD",99
"48249","ST",417
"48251","ST",914
"48253","ST",292
"48255","ST",305
"48257","ST",713
"48259","RD",410
"48261","RD",29
"48263","ST",33
"48265","RD",663
"48267","RD",206
"48269","ST",20
"48271","ST",108
"48273","ST",200
"48275","ST",164
"48277","ST",372
"48279","ST",235
"48281","ST",217
"48283","ST",178
"48285","ST",385
"48287","ST",197
"48289","ST",237
"48291","ST",550
"48293","ST",421
"48295","ST",110
"48297","ST",158
"48299","DR",400
"48301","ST",11
"48303","ST",2515
"48305","ST",97
"48307","ST",295
"48309","DR",1400
"48311","RD",105
"48313","LN",211
"48315","RD",304
"48317","ST",104
"48319","RD",327
"48321","RD",505
"48323","ST",325
"48325","ST",192
"48327","RD",101
"48329","DR",508
"48331","ST",404
"48333","ST",90
"48335","ST",219
"48337","RD",650
"48339","DR",3508
"48341","ST",129
"48343","ST",250
"48345","ST",43
"48347","ST",536
"48349","ST",531
"48351","RD",151
"48353","ST",284
"48355","DR",2357
"48357","ST",118
"48359","ST",99
"48361","ST",1134
"48363","RD",487
"48365","ST",240
"48367","DR",806
"48369","ST",105
"48371","ST",399
"48373","RD",978
"48375","ST",683
"48377","ST",258
"48379","ST",39
"48381","DR",587
"48383","RD",167
"48385","RD",178
"48387","ST",337
"48389","ST",310
"48391","ST",228
"48393","RD",78
"48395","ST",442
"48397","DR",939
"48399","ST",278
"48401","ST",561
"48403","DR",429
"48405","ST",124
"48407","RD",621
"48409","ST",569
"48411","ST",178
"48413","ST",72
"48415","ST",218
"48417","ST",109
"48419","ST",273
"48421","ST",73
"48423","DR",1342
"48425","ST",68
"48427","ST",936
"48429","ST",152
"48431","P",69
"48433","ST",45
"48435","ST",109
"48437","ST",91
"48439","DR",10200
"48441","ST",980
"48443","RD",148
"48445","ST",237
"48447","RD",120
"48449","ST",271
"48451","ST",868
"48453","DR",5163
"48455","RD",618
"48457","RD",219
"48459","RD",677
"48461","ST",82
"48463","ST",318
"48465","ST",520
"48467","ST",410
"48469","ST",665
"48471","RD",609
"48473","RD",481
"48475","ST",325
"48477","LN",410
"48479","DR",760
"48481","ST",656
"48483","ST",209
"48485","ST",742
"48487","ST",212
"48489","ST",205
"48491","DR",2402
"48493","DR",310
"48495","ST",158
"48497","ST",532
"48499","ST",429
"48501","ST",98
"48503","RD",406
"48505","ST",173
"48507","ST",223
"49001","ST",167
"49003","RD",693
"49005","N",757
"49007","RD",1067
"49009","RD",235
"49011","W",1648
"49013","W",428
"49015","RD",263
"49017","RD",285
"49019","CANYON",300
"49021","W",674
"49023","RD",348
"49025","RD",332
"49027","ST",424
"49029","RD",83
"49031","RD",134
"49033","CIR",105
"49035","S",6684
"49037","RD",763
"49039","ST",392
"49041","RD",451
"49043","RD",636
"49045","RD",1774
"49047","RD",669
"49049","ST",5352
"49051","RD",313
"49053","DR",1350
"49055","RD",351
"49057","ST",1870
"50001","RD",1008
"50003","RD",1107
"50005","RD",940
"50007","RD",1170
"50009","RD",447
"50011","RD",1077
"50013","RD",217
"50015","RD",767
"50017","RD",1303
"50019","RD",923
"50021","RD",1335
"50023","RD",1618
"50025","RD",1783
"50027","RD",2139
"51001","LN",608
"51003","LN",929
"51005","RD",206
"51007","LN",174
"51009","RD",584
"51011","LN",253
"51013","ST",820
"51015","LN",1252
"51017","RD",266
"51019","RD",889
"51021","LN",109
"51023","RD",404
"51025","RD",297
"51027","RD",1514
"51029","RD",323
"51031","RD",523
"51033","RD",296
"51035","RD",778
"51036","RD",97
"51037","LN",518
"51041","DR",1762
"51043","LN",472
"51045","RD",196
"51047","LN",622
"51049","RD",238
"51051","RD",401
"51053","RD",310
"51057","RD",291
"51059","CT",5053
"51061","LN",795
"51063","NE",210
"51065","LN",292
"51067","LN",1008
"51069","LN",754
"51071","LN",323
"51073","LN",645
"51075","RD",410
"51077","LN",813
"51079","RD",258
"51081","RD",143
"51083","RD",383
"51085","LN",844
"51087","CT",1558
"51089","DR",751
"51091","RD",173
"51093","LN",336
"51095","RD",372
"51097","RD",228
"51099","DR",267
"51101","RD",199
"51103","LN",369
"51105","DR",852
"51107","CT",1589
"51109","RD",449
"51111","RD",327
"51113","RD",257
"51115","LN",215
"51117","RD",528
"51119","RD",218
"51121","RD",567
"51125","LN",566
"51127","RD",325
"51131","LN",285
"51133","LN",430
"51135","RD",314
"51137","RD",429
"51139","RD",524
"51141","RD",485
"51143","RD",945
"51145","RD",226
"51147","RD",399
"51149","DR",236
"51153","CT",2191
"51155","RD",354
"51157","LN",563
"51159","RD",132
"51161","DR",760
"51163","LN",1168
"51165","LN",1009
"51167","RD",626
"51169","DR",606
"51171","RD",579
"51173","LN",453
"51175","RD",225
"51177","LN",964
"51179","LN",755
"51181","RD",108
"51183","RD",200
"51185","RD",1000
"51187","RD",494
"51191","DR",676
"51193","RD",275
"51195","RD",1081
"51197","RD",490
"51199","RD",400
"51510","ST",339
"51520","ST",177
"51530","ST",107
"51540","ST",172
"51550","CT",1173
"51570","AVE",168
"51580","AVE",91
"51590","ST",373
"51595","ST",114
"51600","DR",109
"51610","ST",92
"51620","ST",92
"51630","ST",159
"51640","ST",109
"51650","DR",580
"51660","ST",141
"51670","AVE",195
"51678","ST",69
"51680","ST",557
"51683","CT",204
"51685","CT",77
"51690","ST",260
"51700","DR",675
"51710","AVE",877
"51720","NW",67
"51730","ST",320
"51735","DR",89
"51740","ST",429
"51750","ST",160
"51760","ST",1032
"51770","NW",626
"51775","ST",178
"51790","ST",302
"51800","DR",345
"51810","CT",2511
"51820","AVE",182
"51830","ST",71
"51840","ST",142
"53001","RD",837
"53003","ST",143
"53005","ST",1166
"53007","RD",1795
"53009","RD",1026
"53011","ST",4386
"53013","RD",241
"53015","RD",849
"53017","NE",543
"53019","RD",878
"53021","RD",472
"53023","RD",166
"53025","NE",885
"53027","ST",939
"53029","LN",1136
"53031","ST",662
"53033","ST",11919
"53035","NE",1336
"53037","RD",759
"53039","RD",960
"53041","RD",1103
"53043","RD",682
"53045","RD",793
"53047","RD",1845
"53049","ST",516
"53051","RD",522
"53053","E",10284
"53055","LN",663
"53057","LN",850
"53059","RD",717
"53061","SE",5449
"53063","RD",2780
"53065","RD",1241
"53067","SE",3658
"53069","RD",190
"53071","RD",618
"53073","ST",1086
"53075","RD",997
"53077","RD",1567
"54001","RD",415
"54003","DR",992
"54005","RD",710
"54007","RD",712
"54009","ST",230
"54011","RD",976
"54013","RD",279
"54015","RD",444
"54017","RD",340
"54019","RD",1231
