"GEOID","suffix","n","proportion"
"01133","RD",303,0.153185035389282
"02013","RD",76,0.422222222222222
"02016","RD",100,0.3584229390681
"02020","CIR",1402,0.215559655596556
"02050","RD",243,0.395765472312704
"02060","RD",73,0.366834170854271
"02063","RD",135,0.306818181818182
"02066","RD",123,0.421232876712329
"02068","RD",137,0.391428571428571
"02070","RD",125,0.416666666666667
"02090","RD",788,0.182830626450116
"02100","RD",82,0.388625592417062
"02105","RD",47,0.223809523809524
"02110","ST",227,0.270560190703218
"02122","ST",1030,0.173781002193352
"02130","RD",123,0.212068965517241
"02150","ST",95,0.220417633410673
"02158","ST",108,0.413793103448276
"02164","RD",171,0.544585987261146
"02170","DR",1742,0.240309008139054
"02180","RD",209,0.398095238095238
"02185","ST",131,0.430921052631579
"02188","ST",98,0.395161290322581
"02195","ST",72,0.373056994818653
"02198","ST",160,0.272108843537415
"02220","ST",89,0.300675675675676
"02230","AVE",24,0.39344262295082
"02240","RD",212,0.302857142857143
"02275","ST",40,0.353982300884956
"02282","TRL",39,0.357798165137615
"02290","RD",331,0.32675222112537
"04001","RD",727,0.12517217630854
"04003","RD",2350,0.266560798548094
"04005","RD",1516,0.193416687930595
"04007","DR",811,0.167389060887513
"04009","RD",422,0.241005139920046
"04011","RD",203,0.273584905660377
"04012","RD",425,0.239977413890457
"04013","DR",24125,0.227037455298325
"04015","DR",3639,0.289544875875239
"04017","RD",1636,0.21492380451918
"04019","DR",4509,0.169900900561438
"04021","DR",3860,0.225164790293414
"04023","CT",726,0.229166666666667
"04025","RD",3087,0.219480981158905
"04027","ST",1258,0.235933983495874
"05001","RD",440,0.271102895871842
"05003","RD",393,0.21569703622393
"05005","LN",895,0.226984529546031
"05007","LN",2768,0.221652786675208
"05009","LN",476,0.178343949044586
"05011","RD",616,0.485804416403785
"05013","RD",64,0.0867208672086721
"05015","RD",296,0.132675930076199
"05017","ST",309,0.305940594059406
"05019","RD",1010,0.417700578990902
"05021","ST",439,0.336656441717791
"05023","RD",550,0.25034137460173
"05025","RD",404,0.511392405063291
"05027","ST",400,0.3125
"05029","RD",518,0.302217036172695
"05031","RD",1050,0.223166843783209
"05033","ST",456,0.186274509803922
"05035","RD",558,0.302275189599133
"05037","RD",174,0.144039735099338
"05039","ST",184,0.213953488372093
"05041","ST",308,0.287045666356011
"05043","RD",284,0.213213213213213
"05045","DR",1093,0.271014133399455
"05047","RD",396,0.269387755102041
"05049","LN",498,0.213733905579399
"05051","LN",1146,0.180785612872693
"05053","ST",154,0.0644621180410214
"05055","RD",435,0.213339872486513
"05057","RD",471,0.237878787878788
"05059","RD",665,0.275590551181102
"05061","PVT",771,0.359273066169618
"05063","LN",593,0.275685727568573
"05065","RD",260,0.158924205378973
"05067","ST",330,0.24300441826215
"05069","ST",915,0.241743725231176
"05071","RD",373,0.144294003868472
"05073","ST",248,0.29073856975381
"05075","ST",449,0.25069793411502
"05077","ST",129,0.177441540577717
"05079","RD",283,0.32830626450116
"05081","ST",258,0.204113924050633
"05083","RD",488,0.353623188405797
"05085","RD",735,0.212060011540681
"05087","RD",82,0.0340956340956341
"05089","LN",717,0.212633451957295
"05091","ST",520,0.235400633770937
"05093","ST",779,0.279111429595127
"05095","RD",228,0.28643216080402
"05097","RD",479,0.268497757847534
"05099","RD",347,0.359585492227979
"05101","RD",187,0.191598360655738
"05103","SW",217,0.123225440090857
"05105","LN",250,0.165672630881378
"05107","ST",248,0.206151288445553
"05109","RD",737,0.309663865546218
"05111","RD",379,0.228038507821901
"05113","RD",948,0.300475435816165
"05115","LN",724,0.237066142763589
"05117","RD",624,0.428571428571429
"05119","DR",2528,0.223361017847676
"05121","RD",418,0.322779922779923
"05123","ST",231,0.161312849162011
"05125","DR",1113,0.213177552193066
"05127","RD",582,0.357055214723926
"05129","RD",595,0.281990521327014
"05131","ST",1332,0.332252432027937
"05133","RD",347,0.25
"05135","RD",541,0.249079189686924
"05137","RD",417,0.330952380952381
"05139","RD",570,0.221359223300971
"05141","RD",674,0.288898414059151
"05143","RD",1616,0.180115916183683
"05145","RD",964,0.265418502202643
"05147","ST",162,0.165474974463739
"05149","RD",656,0.3003663003663
"06001","CT",3713,0.176213753500071
"06003","RD",115,0.469387755102041
"06005","RD",606,0.288434079009995
"06007","RD",1356,0.18970341354225
"06009","RD",998,0.286370157819225
"06011","RD",397,0.399798590130916
"06013","CT",6233,0.285720834288334
"06015","RD",316,0.208856576338401
"06017","RD",1931,0.230622238146423
"06019","AVE",10996,0.601235715457379
"06021","ST",224,0.169954476479514
"06023","RD",1943,0.299614494988435
"06025","RD",1325,0.264682381142629
"06027","RD",661,0.431180691454664
"06029","ST",5051,0.217753060872564
"06031","AVE",987,0.324777887462981
"06033","RD",1420,0.32258064516129
"06035","RD",761,0.380880880880881
"06037","AVE",20794,0.245704832801607
"06039","RD",651,0.1488
"06041","RD",1000,0.157703832203123
"06043","RD",790,0.45014245014245
"06045","RD",1404,0.348214285714286
"06047","CT",1198,0.218692953632713
"06049","RD",853,0.381826320501343
"06051","RD",540,0.403286034353996
"06053","RD",1460,0.201573933452989
"06055","CT",528,0.175707154742096
"06057","RD",1576,0.281277886846332
"06059","DR",6619,0.140393670724982
"06061","CT",2722,0.237356121381235
"06063","RD",664,0.273701566364386
"06065","DR",7980,0.168382849426063
"06067","WAY",6333,0.25221027479092
"06069","RD",360,0.238095238095238
"06071","RD",11460,0.226473261926406
"06073","ST",6054,0.136918762438936
"06075","ST",1455,0.396890343698854
"06077","CT",2131,0.165553138595401
"06079","RD",2204,0.234044812573006
"06081","AVE",1857,0.202331662671606
"06083","RD",1572,0.191497137288342
"06085","CT",6082,0.232172850816919
"06087","RD",1496,0.21531375935521
"06089","RD",1913,0.22337692666978
"06091","RD",368,0.478543563068921
"06093","RD",1424,0.321589882565492
"06095","CT",2319,0.291478129713424
"06097","RD",2840,0.220257484101132
"06099","CT",1967,0.214620840152755
"06101","RD",405,0.218446601941748
"06103","RD",822,0.251838235294118
"06105","RD",1020,0.436830835117773
"06107","AVE",2870,0.257676423056204
"06109","RD",1242,0.311278195488722
"06111","ST",2572,0.163229041061116
"06113","ST",686,0.178738926524231
"06115","RD",410,0.159781761496493
"08001","ST",2634,0.266761191006684
"08003","ST",141,0.134928229665072
